"precinct","cartridge_total","poll_book","difference","absolute_dif","reconciliation","rec_voters","rec_code"
"Ambler 1",1102,1099,3,3,"1100-N","1100","N"
"Ambler 2",1046,1037,9,9,"1048-R","1048","R"
"Ambler 3",970,972,-2,2,"970-N","970","N"
"Bridgeport 1",536,536,0,0,"536-R","536","R"
"Bridgeport 2",656,649,7,7,"664-R","664","R"
"Bridgeport 3",609,606,3,3,"608-R","608","R"
"Bryn Athyn",713,707,6,6,"713-R","713","R"
"Collegeville 1",1117,1116,1,1,"1118-R","1118","R"
"Collegeville 2",706,707,-1,1,"708-R","708","R"
"Collegeville 3",595,590,5,5,"597-R","597","R"
"Conshohocken 1",1002,1001,1,1,"1001-R","1001","R"
"Conshohocken 2",213,209,4,4,"215-N","215","N"
"Conshohocken 3",1005,994,11,11,"1000-R","1000","R"
"Conshohocken 4",832,823,9,9,"834-N","834","N"
"Conshohocken 5",604,596,8,8,"604-R","604","R"
"Conshohocken 6",633,634,-1,1,"633-R","633","R"
"Conshohocken 7",583,580,3,3,"580-R","580","R"
"East Greenville",1201,1194,7,7,"1203-R","1203","R"
"Green Lane",249,246,3,3,"249-R","249","R"
"Hatboro North 1",687,683,4,4,"687-R","687","R"
"Hatboro North 2",1506,1500,6,6,"1508-R","1508","R"
"Hatboro South 1",1134,1133,1,1,"1138-N","1138","N"
"Hatboro South 2",733,733,0,0,"733-R","733","R"
"Hatfield Borough",1407,1406,1,1,"1407-R","1407","R"
"Jenkintown 1",687,682,5,5,"686-R","686","R"
"Jenkintown 2",651,652,-1,1,"654-R","654","R"
"Jenkintown 3",587,585,2,2,"587-N","587","N"
"Jenkintown 4",713,717,-4,4,"718-R","718","R"
"Lansdale 1-1",848,852,-4,4,"855-N","855","N"
"Lansdale 1-2",969,961,8,8,"968-R","968","R"
"Lansdale 1-3",566,567,-1,1,"566-R","566","R"
"Lansdale 2-1",721,717,4,4,"723-R","723","R"
"Lansdale 2-2",988,986,2,2,"989-R","989","R"
"Lansdale 2-3",853,846,7,7,"855-N","855","N"
"Lansdale 3-1",633,635,-2,2,"637-R","637","R"
"Lansdale 3-2",936,922,14,14,"938-R","938","R"
"Lansdale 3-3",1185,1180,5,5,"1188-N","1188","N"
"Narberth 1",754,751,3,3,"754-R","754","R"
"Narberth 2",1303,1300,3,3,"1309-R","1309","R"
"Narberth 3",525,524,1,1,"526-R","526","R"
"Norristown 1-1",759,760,-1,1,"759-N","759","N"
"Norristown 1-2",855,844,11,11,"854-R","854","R"
"Norristown 1-3",853,854,-1,1,"853-R","853","R"
"Norristown 2-1",826,821,5,5,"826-R","826","R"
"Norristown 2-2",567,568,-1,1,"568-R","568","R"
"Norristown 2-3",740,740,0,0,"739-R","739","R"
"Norristown 3-1",1300,1304,-4,4,"1303-R","1303","R"
"Norristown 3-2",815,791,24,24,"815-N","815","N"
"Norristown 3-3",1086,1085,1,1,"108-R","108","R"
"Norristown 4-1",1017,1017,0,0,"1026-R","1026","R"
"Norristown 4-2",1099,1098,1,1,"1100-R","1100","R"
"Norristown 4-3",1136,1141,-5,5,"1154-R","1154","R"
"North Wales 1",547,543,4,4,"547-N","547","N"
"North Wales 2",557,555,2,2,"557-R","557","R"
"North Wales 3",676,674,2,2,"676-N","676","N"
"Pennsburg",1444,1440,4,4,"1444-R","1444","R"
"Pottstown 1-1",565,567,-2,2,"569-R","569","R"
"Pottstown 1-2",454,455,-1,1,"453-R","453","R"
"Pottstown 2-1",549,547,2,2,"551-R","551","R"
"Pottstown 2-2",637,637,0,0,"637-R","637","R"
"Pottstown 3",1336,1334,2,2,"1345-R","1345","R"
"Pottstown 4",1240,1246,-6,6,"1247-R","1247","R"
"Pottstown 5",1179,1179,0,0,"1188-R","1188","R"
"Pottstown 6",1333,1332,1,1,"1333-R","1333","R"
"Pottstown 7-1",835,831,4,4,"835-R","835","R"
"Pottstown 7-2",687,687,0,0,"687-R","687","R"
"Red Hill",1204,1206,-2,2,"1206-R","1206","R"
"Rockledge",1394,1391,3,3,"1395-N","1395","N"
"Royersford 1",970,965,5,5,"970-N","970","N"
"Royersford 2",1228,1225,3,3,"1231-R","1231","R"
"Schwenksville",574,573,1,1,"","",NA
"Souderton 1",1212,1212,0,0,"1214-R","1214","R"
"Souderton 2",1011,1013,-2,2,"1014-R","1014","R"
"Souderton 3",895,890,5,5,"892-N","892","N"
"Telford",1183,1181,2,2,"1186-R","1186","R"
"Trappe Boro",1902,1904,-2,2,"1911-R","1911","R"
"West Conshohocken",810,815,-5,5,"813-R","813","R"
"Abington 1-1",958,958,0,0,"965-R","965","R"
"Abington 1-2",696,685,11,11,"702-R","702","R"
"Abington 1-3",913,915,-2,2,"918-R","918","R"
"Abington 2-1",873,870,3,3,"874-N","874","N"
"Abington 2-2",740,738,2,2,"744-R","744","R"
"Abington 2-3",527,528,-1,1,"527-R","527","R"
"Abington 3-1",642,635,7,7,"641-N","641","N"
"Abington 3-2",844,849,-5,5,"842-R","842","R"
"Abington 3-3",996,995,1,1,"996-R","996","R"
"Abington 4-1",1259,1251,8,8,"1257-R","1257","R"
"Abington 4-2",900,894,6,6,"900-R","900","R"
"Abington 5-1",989,980,9,9,"990-R","990","R"
"Abington 5-2",920,921,-1,1,"918-R","918","R"
"Abington 6-1",1182,1168,14,14,"1184-N","1184","N"
"Abington 6-2",912,908,4,4,"915-N","915","N"
"Abington 7-1",819,815,4,4,"830-R","830","R"
"Abington 7-2",613,607,6,6,"613-R","613","R"
"Abington 7-3",547,543,4,4,"548-R","548","R"
"Abington 8-1",1234,1231,3,3,"1235-N","1235","N"
"Abington 8-2",843,841,2,2,"844-R","844","R"
"Abington 9-1",1107,1104,3,3,"1106-R","1106","R"
"Abington 9-2",970,968,2,2,"974-N","974","N"
"Abington 10-1",721,719,2,2,"722-R","722","R"
"Abington 10-2",784,760,24,24,"785-N","785","N"
"Abington 10-3",763,759,4,4,"763-R","763","R"
"Abington 11-1",417,421,-4,4,"421-R","421","R"
"Abington 11-2",611,606,5,5,"611-R","611","R"
"Abington 11-3",944,938,6,6,"948-R","948","R"
"Abington 12-1",804,803,1,1,"809-R","809","R"
"Abington 12-2",669,662,7,7,"666-R","666","R"
"Abington 12-3",713,713,0,0,"715-R","715","R"
"Abington 13-1",762,764,-2,2,"764-N","764","N"
"Abington 13-2",654,654,0,0,"668-R","668","R"
"Abington 13-3",662,664,-2,2,"666-R","666","R"
"Abington 14-1",722,719,3,3,"722-R","722","R"
"Abington 14-2",1260,1253,7,7,"1262-R","1262","R"
"Abington 15-1",949,952,-3,3,"952-N","952","N"
"Abington 15-2",1022,1017,5,5,"1022-R","1022","R"
"Cheltenham 1-1",972,970,2,2,"974-R","974","R"
"Cheltenham 1-2",723,720,3,3,"725-R","725","R"
"Cheltenham 1-3",498,497,1,1,"498-R","498","R"
"Cheltenham 1-4",667,670,-3,3,"668-R","668","R"
"Cheltenham 2-1",811,801,10,10,"813-R","813","R"
"Cheltenham 2-2",1006,1005,1,1,"1003-R","1003","R"
"Cheltenham 2-3",768,766,2,2,"768-R","768","R"
"Cheltenham 2-4",678,662,16,16,"673-N","673","N"
"Cheltenham 3-1",530,525,5,5,"531-R","531","R"
"Cheltenham 3-2",806,804,2,2,"806-N","806","N"
"Cheltenham 3-3",726,722,4,4,"727-R","727","R"
"Cheltenham 3-4",953,953,0,0,"953-R","953","R"
"Cheltenham 4-1",883,878,5,5,"883-R","883","R"
"Cheltenham 4-2",805,807,-2,2,"806-R","806","R"
"Cheltenham 4-3",508,504,4,4,"508-R","508","R"
"Cheltenham 4-4",387,388,-1,1,"388-R","388","R"
"Cheltenham 5-1",668,669,-1,1,"669-N","669","N"
"Cheltenham 5-2",647,648,-1,1,"648-N","648","N"
"Cheltenham 5-3",650,646,4,4,"643-R","643","R"
"Cheltenham 5-4",788,787,1,1,"787-R","787","R"
"Cheltenham 6-1",1353,1360,-7,7,"1369-R","1369","R"
"Cheltenham 6-2",951,946,5,5,"952-R","952","R"
"Cheltenham 6-3",787,779,8,8,"787-N","787","N"
"Cheltenham 7-1",1145,1149,-4,4,"1152-R","1152","R"
"Cheltenham 7-2",835,834,1,1,"834-R","834","R"
"Cheltenham 7-3",935,928,7,7,"938-R","938","R"
"Douglass 1",1141,1140,1,1,"1141-R","1141","R"
"Douglass 2",1034,1032,2,2,"1043-N","1043","N"
"Douglass 3",1677,1671,6,6,"1677-R","1677","R"
"Douglass 4",1195,1187,8,8,"1205-R","1205","R"
"East Norriton 1-1",833,828,5,5,"833-R","833","R"
"East Norriton 1-2",981,973,8,8,"981-N","981","N"
"East Norriton 1-3",1323,1313,10,10,"1323-N","1323","N"
"East Norriton 1-4",942,945,-3,3,"942-R","942","R"
"East Norriton 2-1",747,754,-7,7,"753-R","753","R"
"East Norriton 2-2",833,833,0,0,"833-R","833","R"
"East Norriton 2-3",1203,1193,10,10,"1207-R","1207","R"
"East Norriton 2-4",934,936,-2,2,"938-R","938","R"
"Franconia 1",754,757,-3,3,"756-R","756","R"
"Franconia 2",1137,1135,2,2,"1141-R","1141","R"
"Franconia 3",1080,1071,9,9,"1080-R","1080","R"
"Franconia 4",774,773,1,1,"779-R","779","R"
"Franconia 5",816,810,6,6,"815-N","815","N"
"Franconia 6",905,924,-19,19,"926-R","926","R"
